Fitness,Equations
45.525,"[(-a1 + b3)*(a1 - b4) (a2 + b1)*(b2 + b3) 2*b1*(a3 - b3)
 (-a3 + b3)*(a3 - a4) (a3 - b3)*(a3 - b4) (a1 + a3)*(a4 + b1) 0
 (a2 + b2)*(b1 + b3) -m1 - m4 0 m1 - m4 2*m4 - m5 + m7]"
43.4,"[(-a1 + b3)*(a1 - b4) a3*(a2 + b1) 2*b1*(a3 - b3) (-a3 + b3)*(a3 - a4)
 (a3 - b3)*(a3 - b4) -(a1 + a3)*(a1 - b1) 0 (a2 + b2)*(b1 + b3) -m1 - m4 0
 m2 - m4 - m6 m4 - m5 + 2*m7]"
36.6375,"[(a2 - a4)*(a2 + b2) (a3 + b1)*(b2 + b3) 0 (a3 - b1)*(a3 - b4)
 -b3*(a2 + a3) (-a1 + a2)*(-b1 + b3) 0 -(a1 - b3)*(a3 - b3) m7 m1 - 2
 -m5 - m8 m1]"
36.525,"[-(a1 - b4)*(a4 - 1) a3*(b1 + b2) -(a1 - b4)*(a3 + b4) 2*b2*(a3 - b3)
 (a1 - b3)*(b1 + b2) (a2 + b2)*(a2 - b4) 0 (a1 - b1)**2 m3 m1 m2 - 1 m2]"
32.3625,"[-a2 + b3 b3*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + 2*m8 m1 - m8 m2 + m8 m7]"
31.8125,"[-a2 + b3 b1*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + 2*m8 m1 - m8 m2 + m8 m7]"
31.8125,"[-a2 + b3 b1*(a1 + b2) (a3 + b4)*(b2 + b3) 0 (a2 - b1)*(a3 + b2) 0 0 0
 m2 + 2*m8 m1 - m8 m2 + m8 m7]"
31.8125,"[-a2 + b3 b1*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + 2*m8 m1 - m8 m2 + m8 -m8]"
31.75,"[b4*(a2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + 2*m8 m6 m2 + m8 m7]"
31.025,"[-a2 + b3 b3*(a1 + b2) a3*(b4 - 1) -(a3 - b1)**2 (a2 - b1)*(a3 + b2) 0 0 0
 m2 m1 + m6 + m8 m2 + m8 m2]"
31.025,"[-a2 + b3 b3*(a1 + b2) a3*(a3 + b4) -(a3 - b1)**2 (a2 - b1)*(a3 + b2) 0 0
 0 m2 m1 + m6 + m8 m2 + m8 m2]"
31.025,"[-a2 + b3 b3*(a1 + b2) a3*(a3 + b4) -(a3 - b1)**2 (a2 - b1)*(a3 + b2) 0 0
 0 m2 m1 + 2*m8 m2 + m8 m2]"
27.6625,"[a3*(a3 + b2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + m6 + 2*m8 m1 + m6 + m8 m2 + m7 m2]"
24.6,"[a3*(a3 + b2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3) -(a3 - b1)**2
 (a2 - b1)*(a3 + b2) 0 0 0 m2 + m6 + 2*m8 m1 + m6 + m8 m2 + m7 m1]"
24.6,"[a3*(a3 + b2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3)
 -(a3 - b1)*(-b1 + b2 + b3) (a2 - b1)*(a3 + b2) 0 0 0 m2 + m6 + 2*m8
 m1 + m6 + m8 m2 + m7 m1]"
24.6,"[a3*(a3 + b2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3) a1*(-a3 + b1)
 (a2 - b1)*(a2 + b2) 0 0 0 m2 m1 m2 m1]"
24.6,"[a3*(a3 + b2 - b3) b1*(a1 + b2) (a3 + b4)*(b2 + b3) a1*(-a3 + b1)
 -(a2 + b2)*(b1 - b2) 0 0 0 m2 m1 m2 m1]"
