Fitness,Equations
51.275,"[(-a1 + a2)*(a1 - a3) (a1 - a3)*(a2 - b3) (a1 + b2)*(-a3 + a4)
 (a2 + b3)*(a2 - b4) (a2 + b1)*(a4 + b4) (-a2 + a3)*(-a4 + b2)
 (a1 + a3)*(b2 + b4) 0 m1 - m6 + m7 + m8 -m1 - m3 m4 - m6
 m2 + m4 + m5 + m8]"
46.4875,"[b2*(a1 - a3) 0 (a1 + b2)*(-a3 + a4) a3*b2 a2 + a4 + b1 + b4
 -(a2 - a3)*(a4 + b2) (a1 + a3)*(b2 + b4) 0 m1 -m1 - m3 m2 - m8
 m3 + m4 - m5 - m8]"
45.5875,"[(-a1 + a4)*(-a2 + b2) 0 (a3 + b1)*(b1 + b2 + b3) 2*b2 b4
 (a1 - b3)*(a3 + b1) a4*(-a2 + b4) 0 m6 -m1 + m4 m2 + m4 - m5
 m4 - 2*m6 + m7]"
41.7625,"[(-a1 + a4)*(-a2 + b2) 0 a2*(b1 + b3) 2*b1 (a2 - a3)*(b2 - b3)
 b1*(a1 - b3) a2 0 0 m6 -m5 + m6 -m1 + 2*m4 - m6 + m7]"
40.65,"[(-a1 + a4)*(-a2 + b2) 0 a2*(b1 + b3) 2*b1 a2*b2 a1 + 2*a3 - b3 a2 0 0 m6
 -m5 + m6 -m1 + 2*m4 - m6 + m7]"
39.3,"[-(a2 - b2)*(a4 - b4) 0 a2**2 2*b1 + b2 - b3 b2*(-a1 + b3) 2*a3*(a1 - b3)
 a2 0 -m5 + m7 + m8 m3 -m5 + m6 -m1 + m2 + m4 - m5 - m6 + m7]"
33.7375,"[(-a1 + a4)*(-a2 + b2) a1*(a4 - b4) a2*a3 -a4 + 2*b1 + b2 a2 - b2
 -2*(a1 - b3)*(b2 - b3) a2 a2*(a2 + b3) m7 m4 - m5 m4 -m1 + 2*m4 - m6 + m7]"
33.7375,"[(-a1 + a4)*(-a2 + b2) a1**2 a2*a3 -a4 + 2*b1 + b2 a2 - b2
 -2*(a1 - b3)*(b2 - b3) a2 a2*(a2 + b3) m7 m4 - m5 m4 -m1 + 2*m4 - m6 + m7]"
33.2875,"[b4 0 a2*(b3 + b4) b1 b4 -a1 + a3**2 + b3 a2 a2**2 2*m4 + m7 + m8 m6
 -m5 + m6 -m6 + m7 + m8]"
30.375,"[b4 0 a2*(b3 + b4) b1 a3 -a1 + a3**2 + b3 a2 a2*b2 m4 + m5 + m7 + m8
 -m4 + m6 + m8 -m1 + m6 - m7 -m6 + m7 + m8]"
27.9875,"[b4 0 2*a2*b3 b1 a3 -a1 + a3*b1 + b3 a2 a2*b2 2*m4 + m7 + m8 -m4 + m6 + m8
 -m1 + m6 - m7 -m6 + m7 + m8]"
27.8125,"[b4 0 2*a2*b3 b1 a3 -a1 + a3*b1 + b3 + 1 a2 a2*b2 2*m4 + m7 + m8
 -m4 + m6 + m8 -m1 + m6 - m7 -m6 + m7 + m8]"
26.825,"[b4 0 2*a2*b3 b1 a3 -a1 + a3*b1 + b3 + 1 a2 a2*b2 2*m4 + m7 + m8
 -m4 + m6 + m8 -m1 + m6 -m6 + m7 + m8]"
26.6,[b4 0 b1*(a2 + b3) a4 a1 b2 a1 a1*b2 m3 + m6 + m7 -m2 + m8 m1 m2 + m5]
26.1,[b4 0 a1 a4 a1 b3 b1 a2*b2 m6 + m8 -m2 + m8 m7 m8]
26.1,[b4 0 b1 a4 a1 b3 b1 a2*b2 m6 + m8 -m2 + m8 m7 m8]
26.1,[b4 0 0 a4 a1 b3 b1 a2*b2 m6 + m8 -m2 + m8 m7 m8]
26.0625,"[b4 a1*b3 + 2*a3 + a4 a3*b1 b3 a1 a2 a1 b2*(-a3 + b2) m2 + m4 + m7 m1 m3
 m2 + m5]"
26.0125,[a4 0 a2 a4 a1 b3 b1 a2*b2 m6 + m8 -m2 + m8 m7 -m5 + m6 + m8]
