Fitness,Equations
54.7625,"[(a1 - b4)*(-a2 + a3) (a2 - a4)*(b2 - b3) (a1 + b2)*(a3 - b4)
 (a1 - b3)*(a3 + b3) (-a1 + a3)*(-a1 + b2) (a1 + b3)*(-a2 + a3) 0 0
 -m5 + m6 + m7 + m8 -m3 + m4 + m6 - m8 m1 - m6 m5 + m6 + 2*m7]"
52.4375,"[(a2 + b3)*(a3 - b3) (-a1 + b1)*(b3 - b4) (a2 + b2)*(b2 - b3)
 (a2 + b2)*(b1 - b3) (-a2 + b1)*(-a3 + b2) 0 (a4 + b1)*(b2 - b3)
 (a1 + a3)*(a1 - b1) m6 -m7 + m8 m2 - m4 + m7 -m1 - m2 + 2*m4]"
49.9,"[(a1 - b4)*(-a2 + a3) (a2 - a4)*(b2 - b3) (a1 + b2)*(a3 - b4)
 (a1 - b3)*(a3 + b3) (-a1 + a3)*(-a1 + b2) (a1 + b3)*(-a2 + a3) 0 0 m6
 -m3 + m4 + m6 - m8 m1 m5 + m6 + 2*m7]"
49.575,"[(a1 - b4)*(-a2 + a3) (a2 - a4)*(b2 - b3) (a1 + b2)*(a3 - b4)
 (a1 - b3)*(a3 + b3) (-a1 + a3)*(-a1 + b2) (a1 + b3)*(-a2 + a3) 0 0 m6
 -m3 + m4 + m6 - m8 -2*m7 m5 + m6 + 2*m7]"
46.5,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3)
 b1*(a4 - b4) (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) -m1 - 2*m3 + m4 + m5
 -m1 + 2*m2 -m2 + m3 + m6 + m8 -m3 - m4 + m6 + m8]"
46.05,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3)
 b1*(a4 - b4) (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) -m1 - m3 + m4 -m1 + 2*m2
 -m1 + m6 + m8 -m3 - m4 + m6 + m8]"
42.775,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) 0
 (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) -m1 - m3 + m4 -m1 + 2*m2 m6
 -m3 - m4 + m6 + m8]"
41.925,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3)
 b1*(a4 - b4) (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) m2 -m1 + m2 + m3 m3 m7]"
39.375,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) 0
 (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) -m1 - m3 + m4*(m1 + m8) m6 m6 m3]"
37.675,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) 0
 b1*(a3 + b2) 2*b3*(b1 - b4) -m3 - m4 + m7 m2 m4 + m5 -m3 - m4 + m6 + m8]"
36.975,"[(-a1 + b4)*(b1 - b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) 0
 b1*(a3 + b2) 2*b3*(b1 - b4) -m3 - m4 + m7 m2 m4 + m5 m1]"
35.4625,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) m6 m6 m2 + m3 + m6 m7]"
34.175,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a3 + b2)*(a4 + b1) 2*b3*(b1 - b4) m6 m2 - m3 m2 + m3 + m6 0]"
34.175,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a3 + b2)*(a4 + b1) b3*b4*(b1 - b4) m6 m2 - m3 m2 + m3 + m6 0]"
34.175,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) 0 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a4 + b1)*(b1 + b2 - b4) b3*b4*(b1 - b4) m6 m2 - m3 m2 + m3 + m6 0]"
32.6375,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) b2 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a4 + b1)*(b2 - 1) 2*b3*(b1 - b4) m6 m7 m5 + m6 m3]"
29.8875,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) b2 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a4 + b1)*(b2 - 1) 2*b3*(b1 - b4) m6 m7 m6 m3]"
28.925,"[b1*(-a1 + b4) (a2 - a4)*(a3 - a4) b2 0 (a1 - b4)*(a2 + b3) b1*(b1 - b4)
 (a4 + b1)*(b2 - 1) 2*b3*(b1 - b4) m6 m7 m6 m2]"
27.5375,"[b1*(-a1 + b4) -(a2 - a4)*(a4 - b1) b2*b4 0 (a1 - b4)*(a2 + b3)
 b1*(b1 - b4) (a4 + b1)*(b2 - 1) 2*b3*(b1 - b2*b4) m6 m7 m6 m3]"
27.4875,"[b1*(-a1 + b4) a2*(a4 + 1)*(a1*a4 + a3) b2 0 (a1 - b4)*(a2 + b3)
 b1*(b1 - b4) (b1 - 1)*(b2 - 1) 2*b3*(b1 - b4) m6 m7 m7 m7]"
