Fitness,Equations
57.875,"[0 (-a2 + b3)*(a3 - b2) 0 (-a1 + a2)*(b1 - b4) (-b1 + b3)*(b2 - b4)
 (a2 - a3)*(a2 + a4) 2*a3*(-a1 + b4) (a3 + a4)*(-a4 + b2)
 m2 + m4 - m5 + m7 -m1 - m3 - m6 + m7 m1 + m3 + m4 + m6 0]"
53.5375,"[0 -(a2 - b3)*(a3 - b2) 0 (-a1 + a2)*(b1 - b4) -(b1 - b3)*(b2 - b4)
 (a2 - a3)*(a2 + a4) 2*a3*(-a1 + b4) (a3 + a4)*(-a4 + b2) m1 + m7
 -m1 - m2 - m6 + m7 m7 0]"
53.5375,"[0 -(a2 - b3)*(a3 - b2) a3*(a3 + b4) (-a1 + a2)*(b1 - b4)
 -(b1 - b3)*(b2 - b4) (a2 - a3)*(a2 + a4) 2*a3*(-a1 + b4)
 (a3 + a4)*(-a4 + b2) m1 + m7 -m1 - m2 - m6 + m7 m7 0]"
48.5625,"[0 -(a2 - 2*b2)*(a3 - b2) 2*a3 + 2*b4 -(a1 - a2)*(b1 - b4)
 -(b1 - b3)*(b2 - b4) (a2 - a3)*(a2 + a4) 2*a3*(-a1 + b4)
 (a3 + a4)*(-a4 + b2) m1 + m7 -m1 - m2 - m6 + m7 m7 m3 - m5]"
45.5875,"[0 b3*(-a2 + a3) 0 b2*(-a1 + a2) -(b1 - b3)*(b2 - b4) (a2 - a3)*(a2 + a4)
 a3*(a1 - b4) (a3 + a4)*(-a4 + b2) m1 + m3 -m1 - m2 - m6 + m7 m7 m4 - m8]"
42.975,"[a2*(b1 + b4) (-a2 + a4)*(a4 + b4) -(a1 + b3)*(b3 - b4)
 (a2 + a4)*(a2 + b3) 2*a3*b2*b4 (a3 - b3)*(a3 - b4) (-a1 + a3)*(b1 + b3) 0
 m1 m4 m4 0]"
41.6625,"[-b1 - b4 -(a2 - a4)*(a4 + b4) -(a1 + b3)*(b3 - b4) 0 2*b2*b4
 (a3 - b3)*(a3 - b4) (-a1 + a3)*(b1 + b3) 0 m6 -m1 + m3 + m4 m5 + m8 m8]"
40.15,"[-b1 - b4 b2*(a4 + b4) (a1 + b3)*(-b3 + b4) 0 4*b2*b4 (a3 - b3)*(a3 - b4)
 (-a1 + a3)*(b1 + b3) 0 m8 -m1 + m3 + m4 m2 m8]"
36.175,"[-a3*(b1 + b4) b2*(a4 + b4) (a1 + b3)*(-b3 + b4) 0 4*b2*b4
 (a3 - b3)*(a3 - b4) (-a1 + a3)*(b1 + b3) 0 m8 -m1 + m2 + m3 m2 m8]"
36.1375,"[a2*(a1 + b1) (a3 - b2)*(a2*b3 - a3) 0 -(a1 - a2)*(a2 - b4) b2*b4
 (a3 - 2)*(a3 - a4) 2*a3*(2*a1 - a3) a1*(a4 - b2) m4 m4 m6 m7]"
33.4,"[a2*(a1 + b1) (a3 - b2)*(a2*b3 - a3) 0 -(a1 - a2)*(a2 - b4) b2*b4
 (a3 - 2)*(a3 - a4) 2*a3*(2*a1 - a3) a1*(a4 - b2) m4 m4 m6 m5]"
32.3625,"[a2*(a1 + b1) (a3 - b2)*(a2*b3 - a3) 0 (a1 - a2)*(a3 - a4 + b4) b2*b4
 (a3 - 2)*(a3 - a4) 2*a3*(2*a1 - a3) a1*(a4 - b2) m4 m5 m4 + m5 + m8 m5]"
31.975,"[a2*(a1 + b1) (a3 - b2)*(a2*b3 + 2*a3) 0 -(a1 - a2)*(a2 - b4) b2*b4
 (a3 - 2)*(a3 - a4) 2*a3*(2*a1 - a3) b2*(-a4 + b2) m1 m4 m6 + m7 m5]"
