Fitness,Equations
45.1,"[(a2 - b3)*(-a3 + b4) (-a3 + b1)*(a4 + b4) 0 (a2 + b4)*(a4 + b3)
 (-a3 + a4)*(b1 + b2) (a3 - b3)*(-b2 + b3) (a2 - b3)*(b1 - b4)
 (a3 - b4)*(-a4 + b3) m3 - m6 - m7 + m8 -m3 + m6 -m1 + m2 -m2 - m7]"
40.5,"[(a1 + a3)*(-a2 + b3) (a1 + a2)*(b2 + b4) (-b1 + b2)*(-b1 + b3) 0
 (-a2 + a4)*(b1 + b2) (b1 + b3)*(-b2 + b3) (-a1 + a2)*(a2 - b3)
 (a2 - a4)*(b2 - b3) m1 + m3 + m4 + m7 m2 - m8 m7 -m3 + 2*m4 + m7]"
33.875,"[0 (a1 + a2)*(b2 + b4) (-b1 + b2)*(-b1 + b3) 0 (-a2 + a4)*(b1 + b2)
 (b1 + b3)*(-b2 + b3) (-a1 + a2)*(a2 - b3) (a2 - a4)*(b2 - b3)
 m1 + m3 + m4 + m7 m2 - m8 m7 -m3 + 2*m4 + m7]"
33.775,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(-a2 + a3 + b2 + b3) -a2 - a4 a3*(a3 - b3)
 b1*(a3 + b1 + b2*b3) a3*(b1 + b2) a1*(a1 + b3) (b1 + b2)*(-b2 + b4) m1 0
 m6 m6]"
33.775,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(-a2 + a3 + b2 + b3) -a2 - a4 a3*(a3 - b3)
 b1*(a3 + b1 + b2*b3) a3*(b1 + b2) a1*(a1 + b3) -(b1 + b2)*(b2 - b4) m1 0
 m6 m6]"
33.775,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(a3 + 2*b2 + 2*b3 - b4) -2*a4 - b1
 a3*(a3 - b3) b1*(a3 + b1 + b2*b3) a3*(b1 + b2) a1*(a1 + b3)
 -(b1 + b2)*(b2 - b4) m1 0 m6 m6]"
33.775,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(-a2 + a3 + b2 + b3) -a2 - a4 a3*(a3 - b3)
 b1*(a3 + b1 + b2*b3) a3*(b1 + b2) a1*(a1 + b3) -(a3 + b4)*(b2 - b4) m1 0
 m6 m6]"
28.9375,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a3*(a2 + a4) a3*(a3 - b3)
 b1*(a2 + b1) b4*(a2 + a4 + b2) a1*(a1 + b3) -(b1 + b2)*(a2*b2 - b4) m3 m3
 m6 m3]"
27.3375,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a1*(a2 + a4) a3*(a3 - b3)
 b1*(a2 + b1) b4*(a2 + a4 + b2) a1*(a1 + b3) -(b1 + b2)*(a2*b2 - b4) m3 m3
 m7 m3]"
27.3375,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a1*(a2 + a4) b2*(a3 - b3)
 b1*(a2 + b1) b4*(a2 + a4 + b2) a1*(a1 + b3)
 -(a2*b2 - b4)*(-a2*b2 + b2 + b4) m3 m3 m7 m3]"
25.525,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a1*(a2 + a4) b2*(a3 - b3)
 b1*(a2 + b1) b1*(a2 + a4 + b2) b1*(a1 + b3)
 -(a2*b2 - b4)*(-a2*b2 + b2 + b4) m3 m3 m7 m3]"
25.4625,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a3*(a1 + a4) a3*(-b3 + b4)
 -a2*b2*(a4 + b1) (a3 + b4)*(a4 + b2 - 1) a1*(b3 - 1)
 (b1 + b2)*(a2**2*b2 + b4) m3 m3 m7 m3]"
25.2,"[(a2 - a3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a3*(a1 + a4) a3*(a3 - b3)
 -a2*b2*(a4 + b1) (a3 + b4)*(a4 + b2 - 1) a3*b2 (b1 + b2)*(a2**2*b2 + b4)
 m3 m7 m7 m3]"
24.275,"[(a2 + a3*b3)*(a3 + b4) (a1 - b4)*(b2 + b3 - b4) a3*(a1 + a4) a3*(a3 - b3)
 -a2*b2*(a4 + b1) (a3 + b4)*(a4 + b2 - 1) a3*(a4 + b2 - 1)
 (b1 + b2)*(a2**2*b2 + b4) m3 m7 m7 m3]"
