Fitness,Equations
54.1875,"[(-a1 + b3)*(a2 + b3) (-a1 + a3)*(a1 - b2) (-a4 + b4)*(a4 - b3)
 (a1 - a2)*(b1 - b4) (-a1 + a4)*(a1 - b4) (a1 + b1)**2 2*b4*(-a2 + a3)
 2*a2*(a1 + b2) -m1 + m2 + m3 - m7 -m2 - m3 - m4 + m5 m4 + m5
 -m1 - m2 + m3 + m4]"
49.425,"[(a3 - b3)*(b1 - b2) 2*b4*(-b3 + b4) (a1 - b3)*(a2 - b3) -b1 - b3
 a4*(b3 + b4) (a2 - a3)*(b2 - b3) a1*(a4 - b1) (b2 - b3)*(b2 - b4)
 2*m6 + 2*m8 m1 + m3 - m6 + m8 m3 - m6 + m7 -m3 - m4 - m5 + m6]"
43.0375,"[(a3 - b3)*(b1 - b2) 2*b4*(-b3 + b4) (a1 - b3)*(a2 - b3) -b1 - b3
 a4*(b3 + b4) (a2 - a3)*(b2 - b3) a1*(a4 - b1) (b2 - b3)*(b2 - b4)
 2*m6 + 2*m8 m3 m5 -m3 - m4 - m5 + m6]"
40.025,"[(a2 + a3)*(b1 + b4) a2 b4 0 a2*(a2 + b2) -(a1 - b2)*(a2 - a4)
 b4*(b1 - b4) b3 m1 0 -m4 + 2*m7 m2]"
31.175,"[a1 + a2 + b2 + b4 -(2*a3 + a4*(b1 + b4))*(b1 - b4)
 -(b3 + 2*b4)*(a2 + a3 - b1) 0 (-a1 + a3)*(a4 + b2) a3*(a2 - b3)
 b1*(a4 + b1) (b2 + b4)*(b3 - b4) m1 2*m1 m4 m6]"
31.175,"[a1 + a2 + b2 + b4 -2*(a3 + a4)*(b1 - b4) -(b3 + 2*b4)*(a2 + a3 - b1) 0
 (-a1 + a3)*(a4 + b2) a3*(a2 - b3) b1*(a4 + b1) (b2 + b4)*(b3 - b4) m1
 2*m1 m4 m6]"
29.5375,"[a1 + a2 + b2 + b4 0 (b3 - 2*b4)*(a2 + a3 - b1) -a1 - b4 - 1 b2*b3
 a3*(a2 + a4) b1*(a2 - a4 + b1) (a2 - b4)*(a4 + b2) m1 m1 + m2 + m5 m4 m6]"
29.475,"[a1 + a2 + b2 + b4 0 (b3 - 2*b4)*(a2 + a3 - b1) -a1 - b4 - 1 a4
 a3*(a2 + a4) b1*(a2 - a4 + b1) (a2 - b4)*(a4 + b2) m1 m1 + m2 + m5 m4 m6]"
26.875,"[a1 + a2 + b2 + b4 0 -(a1 - b1)*(a2 - b3) -a2 - b2 - 1 b3*(a2 + a4)
 a3 + a4 + b2 b1*(a1 - a4 + b1) (a2 - b4)*(a4 + b2) m1 m6 m1 m6]"
26.4375,"[a1 + a2 + b2 + b4 0 -(a1 - b1)*(a2 - b3) -a2 - b2 - 1 b3*(a2 + a4)
 a3 + a4 + b2 b1*(a1 - a4 + b1) (a2 - b4)*(a4 + b2) m1 m6 m1 m1]"
25.45,"[a1 + a2 + a4 + b1 - b3 a3*a4 -a1 - a2 - b1 + b2 + 2*b3 - b4 -a1 - a2 - 1
 b3*(a1 - b4) a4 + b2 + b4 a2 b1*b4 m6 + m8 m6 m1 m1]"
