Fitness,Equations
50.8125,"[0 (a1 + a4)*(a3 + b3) (-a2 + b4)*(a3 + b4) (a1 + b1)*(-b2 + b3)
 (a1 + b1)*(-a3 + b3) (-a4 + b4)*(a4 + b2) (-a3 + b2)*(a4 + b1)
 (a3 - b3)*(-a4 + b4) m1 + m5 m7 - m8 m2 + m7 m4 + m6 + 2*m7]"
49.125,"[(-a2 + b4)*(a2 - b4) (a4 + b2)*(b1 + b2) 0 (-a3 + b2)*(a3 + a4)
 (-a1 + a3)*(a2 - b2) (-a1 + b1)*(a3 + b1) (-a1 + a4)*(-a1 + b4)
 (a3 + b3)*(a4 - b1) m5 - m6 0 m6 + 2*m7 m1 + m5 + m6 - m8]"
42.55,"[0 (a1 + a4)*(a3 + b3) (-a2 + b4)*(a3 + b4) (a1 + b1)*(-b2 + b3)
 (a1 + b1)*(-a3 + b3) (-a4 + b4)*(a4 + b2) (-a3 + b2)*(a4 + b1)
 (a3 - b3)*(-a4 + b4) m5 0 m7 + 2 m2]"
40.725,"[0 a3*(a3 + b3) -(a2 - b4)**2 (a1 + b1)*(-b2 + b3) (a1 + b1)*(-a3 + b3)
 (-a4 + b4)*(a4 + b2) (-a3 + b2)*(a4 + b1) (a3 - b3)*(-a4 + b4) m1 - m3 m5
 m8 m1]"
40.2625,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a3 + a4) (-a1 + a2)*(-a4 + b3)
 (a3 - b1)*(a4 + b2) (-a1 + b2)*(b2 + b4) m7 m3 m3 m2]"
38.35,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a3 + a4) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m6 m3 m2]"
37.6875,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a3 + a4) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m8 m3 m2]"
37.6875,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a4 - 1) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m8 m3 m2]"
36.325,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a4 - 1) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m5 m3 m2]"
35.65,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a4 - 1) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m5 m3 m3]"
33.75,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a4 - 1) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m3 m3 m2]"
33.075,"[-(a2 + b1)*(a1*a3 - b3) (-a1 + a3)*(a2 - b1) (a3 - b2)**2
 (-a4 + b4)*(a4 + b3) -(a1 - b1)*(a4 - 1) (-a1 + a2)*(-a4 + b3)
 a4*(a1 + b2) (-a1 + b2)*(b2 + b4) m7 m3 m3 m3]"
32.7625,"[a1*a3 - b3 (-a1 + a3)*(a2 - b1) (a3 - b2)**2 (-a4 + b4)*(a4 + b3)
 -(a1 - b1)*(a4 - 1) (a4 - b3)*(a1*a3 + a1 - b3) a4*(a1 + b2)
 -(a1 - b2)*(b2 + b4) m2 m1 + m2 m7 m3 + m7]"
32.7625,"[a1*a3 - b3 (-a1 + a3)*(a2 - b1) (a3 - b2)**2 (-a4 + b4)*(a4 + b3)
 -(a1 - b1)*(a4 - 1) (a4 - b3)*(a1*a3 + a1 - b3) a4*(a1 + b2) 0 m2 m1 + m2
 m7 m3 + m7]"
30.6875,"[a1*a3 - b3 (-a1 + a3)*(a2 - b1) (a3 - b2)**2 (-a4 + b4)*(a4 + b3)
 -(a1 - b1)*(a4 - 1) (a4 - b3)*(a1*a3 + a1 - b3) a4*(a1 + b2)
 -(a1 - b2)*(b2 + b4) m7 m1 + m2 m7 m3 + m7]"
