Fitness,Equations
55.875,"[(a1 - b1)*(a2 - b3) (-a1 + b2)*(a2 + b2) 0 2*b4*(-a2 + b2) 0
 (a1 - a2)*(a1 - b4) 2*a3*(a3 + b3) (a2 - a4)*(a3 - b4) -m1 - m2 - m4 + m5
 m2 + m4 + m5 - m8 -m3 + m8 -m1 + m4 - m6 + m7]"
55.0125,"[b2*b3 0 b4*(a4 + b1) b1*(a2 + b4) (a1 + a4)*(-a2 + b1)
 (-a2 + b2)*(a3 - b4) a4*(a1 + b4) 0 2*m3 - m6 + m7 -m1 + m7 m2 + m3
 m1 - m2 - m5 - m7]"
49.8375,"[(a1 - b1)*(a2 - b3) a2 + 2*b2 - b3 0 2*b4*(-a2 + b3) 0
 (a1 - a2)*(a1 - b4) 2*a3*(a3 + b3) a1*(a2 - a4) m3 m2 - m4 + m5 - m8
 -m3 + m8 -m6 + m7]"
39.8125,"[b2*b3 0 b4*(a4 + b1) 0 a3 (-a2 + b2)*(a3 - b4) a4*(a1 + b4)
 (a1 - a3)*(b3 - b4) 2*m3 - m6 + m7 -m4 + m7 m2 + m3 m1 - 2*m2 - m5 + m6]"
37.85,"[a4*(a1 - b1) a2 + 2*b2 - b3 b2 2*b4*(-a2 + b3) b2
 (a1 - b4)*(a1 - b3 + b4) a3*(a3 + b3) a1*a2 m3 m2 - m4 0 m7]"
37.8375,"[(a1 - b1)*(a2 - b3) a2 + 2*b2 - b3 0 2*b4*(-b1 + b3) 0
 (a1 - a2)*(a3 - b4) 2*a3**2 a1*(-a4 + b2) m3 -m1 + m2 - m4 + m5 m7
 -m6 + m7]"
30.8,"[a1 + a4 - b1 -a1 + 2*a2 + a4 - b3 b2 2*b4*(-a2 + b3) -a2 + a3
 (a1 - b4)*(a1 + a4 - b3) a2*b1 a1*b2 m3 -m1 + m2 + m3 + m8 0 m7]"
30.6125,"[0 2*b2 a2 a1*(-a2 + b3) 0 b3*(a1 + b2 - b4) a3*(a1 + a4 + b3)
 a1*(-a2 - a3 + b2) m3 -m4 + m6 m7 -m6 + m7]"
28.6875,"[0 2*b2 a2 a1*(-a2 + b3) 0 a3*b3 a3*(a1 + a4 + b3) a1*(-a2 - a3 + b2) m3
 -m4 + m6 m7 -m6 + m7]"
28.55,"[a4 - b1 + b4 a4 a4 a2*(-a2 + b3) a3 - b3 b1 a2*b2 a4 m8 m5 + m7 + m8 m7
 m7]"
