Fitness,Equations
57.225,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0 -m5 + m8
 -m6 + m8 2*m1 + m2 - m5 m4 + m5]"
55.2375,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0 m5 -m4 + m8
 2*m1 + m2 - m5 m4 + m5]"
51.7375,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0 m8 -m4 + m8
 2*m1 + m2 - m5 m5]"
50.5375,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0 m5
 -m2 + m6 + m8 - 1 m8 m7]"
44.375,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a4 + b4)*(a1 + b2 - b3) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0
 m2 + m7 m6 + 2*m8 m4 m4 - m8]"
42.625,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m5 0 m7 + m8
 m4 + m5]"
39.3125,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a4 + b4)*(a1 + b2 - b3) (a2 - b3)*(a2 + b4) (a1 + b2)*(a3 + b1) 0
 m2 + m7 m5 + 2*m8 m4 m2]"
35.0375,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m5 m4 + m7 - m8
 m7 + m8 m7]"
34.325,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 0 m3 + m4 - m8
 m7 + m8 m7]"
31.875,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 0 m3 + m7 - m8
 m7 + m8 m7]"
29.9125,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m7 m3 + m7 - m8
 m7 + m8 m7]"
29.9125,"[-(a1 + a2)*(b3 + 1) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m7 m3 + m7 - m8
 m7 + m8 m7]"
29.9125,"[-(a1 + a2)*(b3 + 1) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m7 -m2 + m3 + m7
 m7 + m8 m7]"
29.2,"[-(a1 + a2)*(b3 + 1) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) (a2 - b3)*(a2 + b4) a3*(a3 + b1) 0 m7 m7 m7 m7]"
29.2,"[(a1 + a2)*(b1*b3**2 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) -(a2 + b4)*(b3 + 1) a3*(a3 + b1) 0 m7 m7 m7 m7]"
29.2,"[(a1 + a2)*(a4*b3 + b4) 0 (a1 + b4)*(-b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) -(a2 + b4)*(b3 + 1) a3*(a3 + b1) 0 m7 m7 m7 m7]"
28.325,"[(a1 + a2)*(-b3 + b4) 0 (a1 + b4)*(-b1 + b2) -(a1 - b4)*(b1*b3 + b2)
 (a3 - b3)*(b4 - 1) -(b3 + 1)*(a1 + a2 + b4) a3*(b1 - 1) 0 m7 m7 m7 m7]"
26.3125,"[(a1 + a2)*(a4*b3 + b4) 0 (a1 + b4)*(a1*b1 + b2) (-a1 + b4)*(b2 - b3)
 (a3 - b3)*(a4 + b4) b3*(a4 - b3) a3*(a4 + b1) 0 m7 m4 m7 m7]"
