Fitness,Equations
75.4625,"[(-a3 + b1)*(a3 + a4) (a2 + b3)*(-b2 + b3) (a3 + a4)*(a3 + b2)
 (-a1 + a3)*(a1 + b3) (a1 - b3)*(-b1 + b4) (a1 + b3)*(b1 - b2)
 (a1 - b4)*(b2 + b4) (-a4 + b2)*(b2 + b4) 2*m1 - 2*m7 m1 + m6
 2*m1 - m4 - m7 m1 + m6]"
67.3625,"[(a2 - a3)*(a3 + a4) (a2 + b3)*(-b2 + b3) (a3 + a4)*(a3 + b2)
 -(a1 - a2)*(a1 + b3) (a1 - b3)*(-b1 + b4) (a1 + b3)*(b1 - b2)
 (a1 - b4)*(b2 + b4) (-a4 + b2)*(b2 + b4) 2*m1 - 2*m7 m1 + m6
 2*m1 - m4 - m7 m1 + m6]"
55.475,"[(a2 - a3)*(a3 + a4) -(a2 + b3)*(b2 - b3) (a3 + a4)*(a3 + b2)
 -(a1 - a2)*(a1 + b3) (a1 - b3)*(-b1 + b4) (a1 + b3)*(b1 - b2)
 (a1 - b4)*(b2 + b4) (-a4 + b2)*(b2 + b4) m3 m1 2*m1 - m4 - m7 m1 + m6]"
54.5375,"[a3*(a2 - a3) a1*(a2 + b3) (a3 + a4)*(a3 + b2) -(a1 - a2)*(a1 + b3)
 b1*(a1 - b3) (a1 + b3)*(b1 - b2) (a1 - b4)*(b2 + b4) (-a4 + b2)*(b2 + b4)
 2*m1 - 2*m7 m1 + m2 - m5 m1 - m7 m1 + m6]"
51.6125,"[a3*(a2 - a3) a1*(a2 + b3) (a3 + a4)*(a3 + b2) -(a1 - a2)*(a1 + b3)
 b1*(a1 - b3) (a1 + b3)*(b1 - b2) (a1 - b4)*(b2 + b4) (-a4 + b2)*(b2 + b4)
 m1 + m3 - 2*m7 m1 + m2 - m5 m1 - m7 m1 + m6]"
51.325,"[(a2 - a3)*(a3 + a4) -(a2 + b3)*(b2 - b3) (a2 + a3)*(a3 + b2)
 -(a1 - a2)*(a1 - b3) a4*(-b1 + b4) a4*b4 (a1 - b4)*(a3 + b1 - b3)
 -(a2 + b2)*(a4 - b2) 2*m1 - m7 m1 + m2 - m5 + m6 -m4 + m8 -m5 + m6 + m8]"
50.725,"[(a2 - a3)*(a3 + a4) -(a2 + b3)*(b2 - b3) (a2 + a3)*(-b1 + b2 + b3)
 -(a1 - a2)*(a1 - b3) a4*(-b1 + b4) a4*b4 (a1 - b3)*(a3 + b1 - b3)
 -(a2 + b2)*(a4 - b2) 2*m1 - m7 m1 + m2 - m5 + m6 -m4 + m8 -m5 + m6 + m8]"
49.8625,"[(a2 - a3)*(a3 + a4) -(a2 + b3)*(b2 - b3) (a2 + b1 + b3)*(-b1 + b2 + b3)
 -(a1 - b3)*(b2 - b3) a4*(-b1 + b4) a4*b4 (a1 - b3)*(a3 + b1 - b3)
 -(a2 + b2)*(a4 - b2) 2*m1 - m7 m1 + m2 - m5 + m6 -m4 + m8 -m5 + m6 + m8]"
46.425,"[(a2 - a3)*(a3 + a4) a4*(-b2 + b3) (a2 + a3)*(a2 + b2)
 -(a1 - a2)*(a1 - b3) (a1 - b3)*(-b1 + b4) a4*b4 (a1 - a4)*(-a3 + b1 + b3)
 -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m1 + m2 - m5 + m6 -m4 + m8 -m5 + m6 + m8]"
43.925,"[(a2 - a3)*(a3 + a4) a4*(-b2 + b3) b2*(a2 + b2) -(a1 - a2)*(a1 - b3)
 (a1 - b3)*(-b1 + b4) a4*b4 (a1 - a4)*(-a3 + b1 + b3) -(a2 + b2)*(a4 - b2)
 m1 - m7 + 2 m1 + m2 - m5 + m8 -m4 + m8 -m5 + m6 + m8]"
40.9875,"[(a2 - a3)*(a3 + a4) a4*(-b2 + b3) b2*(a2 + b2) -(a1 - a2)*(a1 - b3)
 (a1 - b3)*(-b1 + b4) a4*b4 (a1 - a4)*(-a3 + b1 + b3) a3*(-a4 + b2)
 m1 - m7 + 2 m1 + m2 - m5 + m8 -m4 + m8 -m5 + m6 + m8]"
39.6375,"[a3*b2 a3*b1 a3*(a3 + a4 + b4) -(a1 - a2)*(a1 - b3) -(a1 - b3)*(b1 - b2) 0
 a4*(a3 + b1 - b3 + b4) -a3 2*m1 - m7 m2 - m5 + m6 - m8 m1 - m4 m5]"
37.3,"[a3*b2 b1*(-a4 + b2) b4*(a2 + a3 + a4 + 2*b3) (a1 - b3)*(b2 - b3)
 -(a1 - b3)*(b1 - b2) -a2 b1*(2*a3 - b3) (-a4 + b2)*(b2 + b4) 2*m1 - m7 m6
 m1 - m4 -1]"
37.3,"[a3*b2 b1*(-a4 + b2) b4*(a2 + a3 + 2*b3 + b4) (a1 - b3)*(b2 - b3)
 -(a1 - b3)*(b1 - b2) -a2 b1*(2*a3 - b3) (-a4 + b2)*(b2 + b4) 2*m1 - m7 m6
 m1 - m4 -1]"
35.3125,"[b2*(b1 + b3) b1*(-a4 + b2) b4*(a3 + a4 + 3*b3) -(a1 - a2)*(b2 - b3)
 (a1 - b3)*(a3*b1 + b2) a2*b3 (a3 - b1)*(2*a3 - b3) -(a2 + b2)*(a4 - b2)
 m1 - m7 + 2 m6 -1 -1]"
35.3125,"[b2*(b1 + b3) b1*(-a4 + b2) b4*(a3 + a4 + 3*b3) 0 (a1 - b3)*(a3*b1 + b2)
 a2*b3 (a3 - b1)*(2*a3 - b3) -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m6 -1 -1]"
33.7,"[b2*(b2 + b3) b1*(-a4 + b2) b4*(a3 + a4 + 3*b3) 0 a1*b1 a2*b3
 b3*(-a2 + a3) -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m6 m5 -1]"
33.7,"[b2*(b2 + b3) b1*(a1 - a4) b4*(a3 + a4 + 3*b3) 0 a1*b1 a2*b3 b3*(-a2 + a3)
 -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m6 m5 -1]"
30.2625,"[b2*(b2 + b3) b1*(2*a4 + b2) b4*(a3 + a4 + 3*b3) 0 a1*(-a1 + b1 + b3)
 a2*b3 b3*(-a2 + b2) -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m6 m5 -1]"
30.2625,"[b2*(b2 + b3) b1*(2*a4 + b2) a2*(a3 + a4 + 3*b3) 0 a1*(-a1 + b1 + b3)
 a2*b3 b3*(-a2 + b2) -(a2 + b2)*(a4 - b2) m1 - m7 + 2 m6 m5 -1]"
26.7375,"[b2*(b2 + b3) b1*(a1 - a4) b4*(a3 + a4 + 3*b3) a2*(b2 + b3 - 1) a1*b1
 a2*b3 a2*b3 -(a2 + b2)*(a4 - b2) m5 m6 m5 -1]"
25.3125,"[b1*b3 b1*(a3 + b1*b2) b1**2 0 a1*a3 b2**2 a3*(-a2 + a3)
 (a2 + b2)*(a2 - a4 + b2 + b3) m3 - m7 m4 m1 -m4 + m6]"
25.3125,"[b1*b3 b1*b2 b1**2 0 a1*a3 b2**2 a3*(-a2 + a3)
 (a2 + b2)*(a2 - a4 + b2 + b3) m3 - m7 m4 m1 -m4 + m6]"
