Fitness,Equations
56.55,"[0 (a4 + b3)*(-b2 + b4) (-a1 + b4)*(-a2 + a3) (a3 + b2)*(a4 + b3) 0
 (-b1 + b3)*(b1 + b3) (a1 - a4)*(a4 - b4) (-a2 + a4)*(-a3 + b3)
 2*m6 + m7 + m8 -m1 + m5 + m6 + m8 m1 + m2 + m5 - m7 -m1 + m3 - m5 - m7]"
37.975,"[0 0 (-a1 + b4)*(-a2 + a3) b3*(a2 + b2) 0 (-b1 + b3)*(b1 + b3)
 a4*(a1 - a4) (a2 - a4)*(a3 - b3) -m7 + m8 -m1 - m2 + m5 + 2*m8
 m1 + m2 + m5 - m7 -m1 + m3 - m5 - m7]"
50.125,"[(a2 - a4)*(a1 + a3 - b1) (-a1 + a4)*(a4 + b2) (a3 + a4)*(a3 + b3)
 -(b2 - b4)*(a3 - a4 + b4) (2*a3 + a4)*(b1 - b4) a3 a3*(a1 + b3) 0
 -m2 + m3 - m7 + m8 m4 - m5 + m6 -m2 + m4 + m5 - m8 m4]"
37.5375,"[(a2 - a3)*(a1 + a3 - b1) b2*(a4 - b2) (a3 + a4)*(a3 + b3) a2*b4
 a4*(a1 - b1) a1 + b1 a3*a4 0 m3 -m1 + m2 + m4 m6 m4]"
35.625,"[-a1 + a2 - b2 b1 a3*(a3 + a4) b1*(a3 - b2 + b3) b4*(a4 + b1)
 b4*(-a2 + b1 + b3) a3*(a1 + b3) (b1 + b3)*(a1 - b2 + 2*b4) m2 + m3 - m7
 m3 m5 m4]"
35.4125,"[-a1 + a2 - b2 -a4 + b1 a3*(a3 + a4) b1*(a3 - b2 + b3) b4*(a4 + b1)
 b4*(-a2 + b1 + b3) a3*(a1 + b3) (b3 + b4)*(a1 - a3 + b1 - b2 + b4)
 m2 - m3 + m7 m3 m5 m4]"
34.825,"[-a1 + a2 - a4 -a3 + a4 - b2 - b4 b3 b1*(a3 - b2 + b3) b2*b4 b4*(b2 + b3)
 a3*(a1 + b3) b2*(b3 + b4) m2 - m3 + m7 m3 m5 m4]"
33.3,"[-b3 -a3 - b4 b3 a3*(a3 - b2 + b3) b2*b4 a2*b4 a3*(a1 + b3) a4
 m2 - m3 + m7 m3 m5 m4]"
29.725,"[a2 + b3*(a2 - a3 + b3) + b3 + b4 a2 - b2 - b4 a1 + b4 a1 - a2 + 2*a3 + a4
 b2*b4 a1*a2 a3*(a1 - b1) b2 m1 + m2 - m3 + m4 m3 + m7 - m8 m5 m4]"
27.9875,"[a2 + b1 + b2 a2 + b2 - b4 a2 + b4 a3 + b4 b2 a1*a2 a2*b4 b1
 m3 + 2*m4 + m6 - m7 - m8 m6 m5 m4]"
23.825,"[a1*(b1 - b3) + 2*a2 + b1 + b3 a1 - b2 + b4 a1 + a2 + b4
 a1 - a2 + a3 + a4 + b3 a2*b4 -a1*b1 a4 b1 m3 - m6 + m7 m3 + m4 m5 m4]"
23.0625,"[-(a2 - b1)*(2*a1 - a3 + b2) b1 a4 b4 a2*b2 b2 + b3 a1 - a2 + b2 a1
 m5 + m6 m5 + m7 m5 + m7 m5]"
