Fitness,Equations
52.2125,"[(a1 + b1)*(a1 - b3) (-b2 + b4)*(b2 - b4) (a1 + a2)*(b3 - b4)
 (a2 - b1)*(-b1 + b2) (a2 + b4)*(-b1 + b4) (-a1 + b1)*(-a4 + b1)
 (a1 + b3)*(-b1 + b4) (a1 + a2)*(a2 + b3) 0 m5 - m6 - m7 + m8 0
 m1 + m2 + m3 - m6]"
46.725,"[(-a4 + b1)*(a4 + b4) -(a1 + a2)*(a2 - b2) (a3 - b4)*(-b1 + b4)
 (a3 - a4)*(a4 - b1) (a4 + b4)*(b3 + b4) -(a1 + b4)*(a4 - b1)
 (-a1 + b2)*(a1 - b4) a2*(a3 + b2) 2*m3 + m5 m1 - m3 -2*m3
 m1 + m3 - m4 + m8]"
37.85,"[b1*(-a4 + b1) -(a1 + a2)*(a2 - b2) (a3 - b4)*(-b1 + b4)
 (a3 - a4)*(a4 - b1) (a4 + b4)*(b3 + b4) a4*(a1 + b1) 0 a2*(a3 + b2)
 2*m3 + m5 m1 - m3 m6 + m7 m1 + m3 - m4 + m8]"
35.2,"[b4*(-a4 + b1) b3*(a2 + b2) a2*b4 a1*(-a1 + a4) a4 a1*(b3 + b4) b1
 a1 + a2 + a3 m3 + 2*m5 m6 - m7 -2*m1 + m6 + m7 m1 + m3 + m4 - m8]"
31.375,"[0 b3*(a2 + b2) a2*b4 b3 a4 a1*(b3 + b4) b1 a1 + a2 + b1 + b2 m3 + 2*m5
 m6 - m7 -2*m1 + m6 + m7 m1 + m3 + m4 - m8]"
27.25,"[b4 -(a1 + a2)*(a2 - b1) a2 -a3 + 2*a4 - b1 2*b2*b4 a4*(a4 + 2*b1) b3
 a2*b2 m3 + m5 -m3 + m5 m1 m1 + m3 + m8]"
25.45,"[b1*b4*(a3 + 2) b3 a2*b4 b3 2*a1 a1**2 b1 b3 m4 + m5 + m6 + m8 m6 - m7 m4
 m3 + m4 + m5]"
25.075,"[a3 a2 + 2*b2 - b3 a3*b1 b1**2*(b1 - b4) a4 a1**2 b1 a1 + 2*a3
 m1 + m6 + m8 m1 m3 + m5 m8]"
24.775,[a3 2*b2 a3*b1 b1**2*b2 a4 a1**2 b1 2*a3 + a4 m1 + m6 + m8 m1 m3 + m5 m8]
23.9125,"[b2 a1 + a2 - a3 + a4 a3 a4 a4 b3*(a1 + a2) a2 b1 - b2 m6 m1 + m8 m6 + m8
 2*m3 + 2*m4]"
21.7125,"[b2 a1 + a2 - a3 + a4 a3 a4 a1 + b4 b3*(a1 + a2) a2 a3 - b2 m6 m1 + m5
 m6 + m8 2*m3 + 2*m4]"
20.9125,"[b2 a1 + a2 - a3 + a4 a3 a1 + a2 a1 + b4 b3*(a1 + a2) b1 a3 - b2 m6
 m1 + m5 m6 + m8 2*m3 + 2*m4]"
20.1,"[b2 a1 + a2 - a3 + a4 a4 a4 a3 b3*(a1 + a2) a2 a4 m6 m6 m6 + m8
 m2 + 2*m3 + m4]"
20.1,"[b2 a1 + a2 - a3 + a4 a4 a4 b4 b3*(a1 + a2) a2 a4 m6 m6 m6 + m8
 m2 + 2*m3 + m4]"
